,datetime,Lat,Lon
151585,5/14/2014 19:56:00,40.7823,-73.9805
609164,5/27/2014 7:32:00,40.7427,-73.9786
538929,6/12/2014 17:13:00,40.7156,-73.9857
26858,4/24/2014 20:07:00,40.7627,-73.9715
79699,5/6/2014 15:30:00,40.6845,-73.9828
763454,8/28/2014 15:50:00,40.7246,-73.9847
114836,8/11/2014 22:12:00,40.7028,-73.9173
622732,8/3/2014 10:16:00,40.7257,-73.9846
219832,5/22/2014 8:32:00,40.7591,-73.97399999999999
532810,7/27/2014 1:26:00,40.6846,-73.919
548089,6/13/2014 16:51:00,40.7568,-73.9721
184229,5/17/2014 21:26:00,40.7381,-74.0094
310513,4/26/2014 23:24:00,40.7306,-73.9862
132892,9/12/2014 22:51:00,40.7161,-74.0087
281943,8/3/2014 11:35:00,40.6797,-73.9781
491246,7/23/2014 19:53:00,40.8297,-73.928
412528,6/24/2014 14:35:00,40.7462,-73.9841
131804,5/12/2014 12:42:00,40.7615,-73.9997
628020,7/8/2014 15:05:00,40.7605,-73.9585
11486,7/12/2014 20:03:00,40.7242,-74.01
5246,8/5/2014 17:36:00,40.7519,-73.9937
555487,9/22/2014 17:20:00,40.7725,-73.9507
151233,6/14/2014 18:10:00,40.7259,-73.9975
317945,8/6/2014 14:52:00,40.729,-73.9844
100137,7/10/2014 18:50:00,40.7729,-73.8858
277499,5/29/2014 21:12:00,40.6783,-73.9892
1953,6/3/2014 8:31:00,40.7697,-73.994
889869,9/10/2014 11:35:00,40.7015,-73.9867
705291,9/9/2014 0:41:00,40.6625,-73.9983
26877,7/25/2014 10:53:00,40.7754,-73.9834
343330,4/3/2014 13:19:00,40.7165,-74.01
83535,8/7/2014 17:25:00,40.7177,-73.9633
131929,9/12/2014 21:28:00,40.7272,-74.0033
387102,7/14/2014 16:54:00,40.7372,-73.9795
479064,8/20/2014 8:31:00,40.7801,-73.9569
401811,9/10/2014 19:36:00,40.7379,-73.9867
159085,8/17/2014 20:43:00,40.7628,-73.8754
617291,5/28/2014 16:21:00,40.7642,-73.9544
409440,8/13/2014 22:38:00,40.7145,-73.9611
31281,5/27/2014 14:11:00,40.744,-73.9895
71187,9/5/2014 20:29:00,40.758,-73.9756
395483,9/10/2014 11:52:00,40.749,-73.9941
313041,8/6/2014 5:33:00,40.7658,-73.9611
607331,5/26/2014 18:43:00,40.7609,-73.9991
518112,7/25/2014 21:13:00,40.6696,-73.9366
89389,4/11/2014 15:33:00,40.7658,-73.9807
585057,8/29/2014 18:34:00,40.7322,-74.0021
146842,4/22/2014 12:20:00,40.7241,-73.9968
178361,5/17/2014 9:08:00,40.711999999999996,-73.9526
538187,4/29/2014 17:46:00,40.6447,-73.7817
414055,8/14/2014 12:22:00,40.773,-73.8856
366236,9/7/2014 23:07:00,40.6873,-73.8235
198832,5/19/2014 18:51:00,40.7776,-73.9592
64519,9/5/2014 7:16:00,40.775,-73.959
278707,6/1/2014 20:35:00,40.6922,-73.9706
54930,5/2/2014 23:55:00,40.7521,-73.9834
484606,6/5/2014 3:59:00,40.7622,-73.9957
713099,9/10/2014 7:53:00,40.7571,-73.986
415358,7/16/2014 22:23:00,40.6895,-73.9696
656905,6/7/2014 23:43:00,40.7513,-73.9917
472804,5/8/2014 7:25:00,40.7524,-73.9943
350541,6/14/2014 0:38:00,40.693000000000005,-73.9889
273229,9/30/2014 19:10:00,40.7558,-73.9836
633609,7/9/2014 10:48:00,40.7693,-73.9885
571930,8/28/2014 16:23:00,40.7331,-74.0073
204257,7/23/2014 7:37:00,40.7805,-73.9479
447878,8/17/2014 1:16:00,40.7835,-73.971
88637,5/7/2014 16:52:00,40.7678,-73.9915
106964,9/10/2014 6:53:00,40.7508,-74.0324
269567,4/15/2014 9:35:00,40.722,-73.9875
96323,9/8/2014 19:32:00,40.6556,-74.014
635071,7/9/2014 15:34:00,40.6646,-73.7781
453174,5/5/2014 13:33:00,41.0655,-73.4363
104286,9/9/2014 19:23:00,40.7416,-73.9894
891830,9/10/2014 18:00:00,40.5929,-73.9484
785614,9/20/2014 15:12:00,40.6928,-73.9932
225960,6/24/2014 18:51:00,40.7454,-73.9864
501023,5/11/2014 13:33:00,40.7659,-73.9756
623378,8/3/2014 12:46:00,40.6861,-73.9643
782219,8/5/2014 10:48:00,40.7693,-73.9846
46753,7/2/2014 16:46:00,40.7245,-74.0016
396281,5/27/2014 6:21:00,40.7591,-73.9923
70184,7/7/2014 0:29:00,40.7145,-73.9578
152752,8/16/2014 20:30:00,40.6996,-73.9518
570604,6/17/2014 16:02:00,40.7538,-73.9885
526866,6/11/2014 7:02:00,40.7847,-73.9698
97989,8/9/2014 10:49:00,40.8017,-73.9687
605280,7/3/2014 8:44:00,40.7515,-73.9938
117950,9/11/2014 13:12:00,40.6917,-74.1771
283605,7/1/2014 14:35:00,40.6449,-73.7821
61397,6/4/2014 20:01:00,40.7631,-73.9804
479515,6/4/2014 11:47:00,40.7425,-73.984
643894,7/10/2014 18:07:00,40.7339,-73.9526
427969,7/17/2014 23:44:00,40.7276,-73.9936
28649,4/26/2014 0:37:00,40.7198,-73.9996
27980,7/26/2014 9:31:00,40.7435,-73.95100000000001
668805,7/14/2014 13:23:00,40.7559,-73.9799
611719,5/27/2014 16:55:00,40.7493,-73.9945
217366,6/23/2014 14:22:00,40.7479,-73.9775
661650,6/22/2014 20:58:00,40.7296,-74.008
825160,8/30/2014 18:22:00,40.6807,-73.9939
830864,9/27/2014 19:03:00,40.688,-73.9616
501419,5/11/2014 15:02:00,40.7479,-73.9774
558603,7/29/2014 17:06:00,40.7571,-73.9786
362170,9/7/2014 16:48:00,40.7219,-73.9802
638287,7/9/2014 21:59:00,40.751999999999995,-73.9945
40903,4/2/2014 12:47:00,40.7553,-73.9724
268571,5/28/2014 21:37:00,40.7569,-73.9771
335479,7/9/2014 13:53:00,40.7421,-73.9778
719026,8/20/2014 10:55:00,40.7222,-73.9984
243845,8/30/2014 17:45:00,40.5924,-74.1521
754677,8/26/2014 22:17:00,40.7443,-74.0068
639082,5/31/2014 15:18:00,40.678000000000004,-73.9729
381766,7/14/2014 0:13:00,40.7249,-73.9953
112455,6/10/2014 18:18:00,40.751,-73.9767
527272,7/26/2014 17:33:00,40.6955,-73.9313
588504,5/23/2014 4:46:00,40.7757,-73.9528
191052,8/22/2014 14:27:00,40.7083,-74.0143
390712,9/9/2014 22:19:00,40.6865,-73.9687
190354,5/18/2014 15:28:00,40.7696,-73.9603
226103,5/22/2014 19:41:00,40.7292,-73.9796
403034,7/15/2014 20:52:00,40.7376,-74.0082
14207,9/11/2014 21:51:00,40.7844,-73.9736
248091,9/27/2014 9:39:00,40.6473,-74.0062
383585,7/14/2014 8:34:00,40.749,-73.9915
382035,8/11/2014 19:46:00,40.7064,-74.0096
56547,4/5/2014 0:23:00,40.8574,-73.8873
555210,7/29/2014 11:14:00,40.7583,-73.9704
130144,7/14/2014 12:46:00,40.7741,-73.8723
901830,9/12/2014 16:00:00,40.7371,-73.9884
622539,7/7/2014 16:06:00,40.7057,-74.0135
728901,7/23/2014 10:35:00,40.7425,-73.9743
507226,4/25/2014 16:33:00,40.7733,-73.9529
283861,7/1/2014 15:05:00,40.6972,-73.9918
382398,5/22/2014 21:15:00,40.7655,-73.976
439321,8/16/2014 12:43:00,40.672,-73.9807
14464,5/12/2014 16:08:00,40.7388,-73.9928
2759,8/3/2014 12:26:00,40.758,-73.9916
865580,9/5/2014 9:07:00,40.7625,-73.979
221380,6/24/2014 6:57:00,40.7299,-74.0049
199608,9/20/2014 19:03:00,40.7461,-74.0017
475110,4/21/2014 6:54:00,40.7408,-73.98
366206,6/17/2014 11:02:00,40.7414,-73.9852
159394,6/16/2014 1:03:00,40.7338,-74.0027
52013,9/3/2014 19:18:00,40.7526,-73.9717
53526,6/3/2014 21:08:00,40.7625,-73.9629
632877,8/5/2014 7:54:00,40.7752,-73.9592
535331,8/24/2014 23:04:00,40.676,-74.0166
41797,9/2/2014 13:00:00,40.7484,-73.9394
8842,4/7/2014 19:14:00,40.7592,-73.975
411461,6/24/2014 10:24:00,40.7843,-73.983
294214,8/4/2014 15:32:00,40.7433,-74.0076
204692,7/23/2014 8:34:00,40.7567,-74.0039
8128,4/7/2014 12:02:00,40.7507,-73.9829
199615,8/23/2014 18:09:00,40.7782,-73.9524
433211,8/15/2014 20:51:00,40.7224,-73.9872
450619,4/17/2014 11:00:00,40.793,-73.9657
172941,5/16/2014 19:40:00,40.7247,-73.9945
30991,4/28/2014 6:45:00,40.7392,-73.9871
1005142,9/27/2014 20:59:00,40.684,-73.947
236915,8/29/2014 15:24:00,40.6459,-73.7767
572552,8/28/2014 17:11:00,40.6418,-73.7887
336897,7/9/2014 16:27:00,40.6937,-73.9843
563365,9/23/2014 13:32:00,40.7754,-73.9461
105768,5/9/2014 10:28:00,40.6979,-73.994
634470,8/5/2014 13:50:00,40.7382,-73.991
416376,9/11/2014 21:01:00,40.7554,-73.9794
696291,7/18/2014 6:57:00,40.7301,-74.00399999999999
69096,9/5/2014 17:30:00,40.7663,-73.9783
613204,8/1/2014 20:21:00,40.727,-73.9838
224871,8/27/2014 20:06:00,40.724000000000004,-74.00399999999999
164492,4/24/2014 20:03:00,40.7554,-73.9795
259783,7/29/2014 19:12:00,40.7056,-74.0131
138627,9/13/2014 16:15:00,40.7102,-74.0109
